id,x,y,z
0,-0.7,0.5000000000000002,0.3
1,-0.7,0.5000000000000002,0.44999999999999996
2,-0.7,0.6500000000000004,0.0
3,-0.7,0.6500000000000004,0.15
4,-0.5499999999999999,0.3500000000000001,0.75
5,-0.5499999999999999,0.5000000000000002,0.3
6,-0.5499999999999999,0.5000000000000002,0.44999999999999996
7,-0.5499999999999999,0.5000000000000002,0.6
8,-0.5499999999999999,0.6500000000000004,0.0
9,-0.5499999999999999,0.6500000000000004,0.15
10,-0.5499999999999999,0.6500000000000004,0.3
11,-0.5499999999999999,0.6500000000000004,0.44999999999999996
12,-0.5499999999999999,0.8000000000000003,0.0
13,-0.5499999999999999,0.8000000000000003,0.15
14,-0.3999999999999999,0.3500000000000001,0.75
15,-0.3999999999999999,0.5000000000000002,0.3
16,-0.3999999999999999,0.5000000000000002,0.44999999999999996
17,-0.3999999999999999,0.5000000000000002,0.6
18,-0.3999999999999999,0.5000000000000002,0.75
19,-0.3999999999999999,0.6500000000000004,0.0
20,-0.3999999999999999,0.6500000000000004,0.15
21,-0.3999999999999999,0.6500000000000004,0.3
22,-0.3999999999999999,0.6500000000000004,0.44999999999999996
23,-0.3999999999999999,0.6500000000000004,0.6
24,-0.3999999999999999,0.8000000000000003,0.0
25,-0.3999999999999999,0.8000000000000003,0.15
26,-0.3999999999999999,0.8000000000000003,0.3
27,-0.2499999999999999,0.3500000000000001,0.75
28,-0.2499999999999999,0.3500000000000001,0.8999999999999999
29,-0.2499999999999999,0.5000000000000002,0.3
30,-0.2499999999999999,0.5000000000000002,0.44999999999999996
31,-0.2499999999999999,0.5000000000000002,0.6
32,-0.2499999999999999,0.5000000000000002,0.75
33,-0.2499999999999999,0.6500000000000004,0.0
34,-0.2499999999999999,0.6500000000000004,0.15
35,-0.2499999999999999,0.6500000000000004,0.3
36,-0.2499999999999999,0.6500000000000004,0.44999999999999996
37,-0.2499999999999999,0.6500000000000004,0.6
38,-0.2499999999999999,0.8000000000000003,0.0
39,-0.2499999999999999,0.8000000000000003,0.15
40,-0.2499999999999999,0.8000000000000003,0.3
41,-0.2499999999999999,0.8000000000000003,0.44999999999999996
42,-0.2499999999999999,0.9500000000000002,0.0
43,-0.2499999999999999,0.9500000000000002,0.15
44,-0.09999999999999987,0.3500000000000001,0.75
45,-0.09999999999999987,0.3500000000000001,0.8999999999999999
46,-0.09999999999999987,0.5000000000000002,0.3
47,-0.09999999999999987,0.5000000000000002,0.44999999999999996
48,-0.09999999999999987,0.5000000000000002,0.6
49,-0.09999999999999987,0.5000000000000002,0.75
50,-0.09999999999999987,0.6500000000000004,0.0
51,-0.09999999999999987,0.6500000000000004,0.15
52,-0.09999999999999987,0.6500000000000004,0.3
53,-0.09999999999999987,0.6500000000000004,0.44999999999999996
54,-0.09999999999999987,0.6500000000000004,0.6
55,-0.09999999999999987,0.6500000000000004,0.75
56,-0.09999999999999987,0.8000000000000003,0.0
57,-0.09999999999999987,0.8000000000000003,0.15
58,-0.09999999999999987,0.8000000000000003,0.3
59,-0.09999999999999987,0.8000000000000003,0.44999999999999996
60,-0.09999999999999987,0.9500000000000002,0.0
61,-0.09999999999999987,0.9500000000000002,0.15
62,0.050000000000000266,0.3500000000000001,0.75
63,0.050000000000000266,0.3500000000000001,0.8999999999999999
64,0.050000000000000266,0.5000000000000002,0.3
65,0.050000000000000266,0.5000000000000002,0.44999999999999996
66,0.050000000000000266,0.5000000000000002,0.6
67,0.050000000000000266,0.5000000000000002,0.75
68,0.050000000000000266,0.6500000000000004,0.0
69,0.050000000000000266,0.6500000000000004,0.15
70,0.050000000000000266,0.6500000000000004,0.3
71,0.050000000000000266,0.6500000000000004,0.44999999999999996
72,0.050000000000000266,0.6500000000000004,0.6
73,0.050000000000000266,0.6500000000000004,0.75
74,0.050000000000000266,0.8000000000000003,0.0
75,0.050000000000000266,0.8000000000000003,0.15
76,0.050000000000000266,0.8000000000000003,0.3
77,0.050000000000000266,0.8000000000000003,0.44999999999999996
78,0.050000000000000266,0.9500000000000002,0.0
79,0.050000000000000266,0.9500000000000002,0.15
80,0.050000000000000266,0.9500000000000002,0.3
81,0.20000000000000018,0.3500000000000001,0.75
82,0.20000000000000018,0.3500000000000001,0.8999999999999999
83,0.20000000000000018,0.5000000000000002,0.3
84,0.20000000000000018,0.5000000000000002,0.44999999999999996
85,0.20000000000000018,0.5000000000000002,0.6
86,0.20000000000000018,0.5000000000000002,0.75
87,0.20000000000000018,0.6500000000000004,0.0
88,0.20000000000000018,0.6500000000000004,0.15
89,0.20000000000000018,0.6500000000000004,0.3
90,0.20000000000000018,0.6500000000000004,0.44999999999999996
91,0.20000000000000018,0.6500000000000004,0.6
92,0.20000000000000018,0.8000000000000003,0.0
93,0.20000000000000018,0.8000000000000003,0.15
94,0.20000000000000018,0.8000000000000003,0.3
95,0.20000000000000018,0.8000000000000003,0.44999999999999996
96,0.20000000000000018,0.9500000000000002,0.0
97,0.20000000000000018,0.9500000000000002,0.15
98,0.3500000000000001,0.3500000000000001,0.75
99,0.3500000000000001,0.5000000000000002,0.3
100,0.3500000000000001,0.5000000000000002,0.44999999999999996
101,0.3500000000000001,0.5000000000000002,0.6
102,0.3500000000000001,0.5000000000000002,0.75
103,0.3500000000000001,0.6500000000000004,0.0
104,0.3500000000000001,0.6500000000000004,0.15
105,0.3500000000000001,0.6500000000000004,0.3
106,0.3500000000000001,0.6500000000000004,0.44999999999999996
107,0.3500000000000001,0.6500000000000004,0.6
108,0.3500000000000001,0.8000000000000003,0.0
109,0.3500000000000001,0.8000000000000003,0.15
110,0.3500000000000001,0.8000000000000003,0.3
111,0.3500000000000001,0.8000000000000003,0.44999999999999996
112,0.5000000000000002,0.3500000000000001,0.75
113,0.5000000000000002,0.5000000000000002,0.3
114,0.5000000000000002,0.5000000000000002,0.44999999999999996
115,0.5000000000000002,0.5000000000000002,0.6
116,0.5000000000000002,0.6500000000000004,0.0
117,0.5000000000000002,0.6500000000000004,0.15
118,0.5000000000000002,0.6500000000000004,0.3
119,0.5000000000000002,0.6500000000000004,0.44999999999999996
120,0.5000000000000002,0.8000000000000003,0.0
121,0.5000000000000002,0.8000000000000003,0.15
122,0.5000000000000002,0.8000000000000003,0.3
123,0.6500000000000004,0.5000000000000002,0.3
124,0.6500000000000004,0.5000000000000002,0.44999999999999996
125,0.6500000000000004,0.6500000000000004,0.0
126,0.6500000000000004,0.6500000000000004,0.15
127,0.6500000000000004,0.6500000000000004,0.3
128,0.8000000000000003,0.5000000000000002,0.3
